,1,2,3,4,5,6,7,8,40,59,71,87,102,125,149,168,171
region,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2017.01,0.035,0.024,0.028,0.027,0.023,0.024,0.024,0.027,0.033,0.022,0.027,0.023,0.02,0.016,0.019,0.023,0.013
2017.02,0.018,0.031,0.024,0.023,0.029,0.023,0.028,0.025,0.019,0.024,0.021,0.025,0.03,0.029,0.03,0.03,0.04
2017.03,0.038,0.022,0.024,0.03,0.025,0.021,0.025,0.024,0.034,0.019,0.025,0.022,0.019,0.019,0.018,0.023,0.014
2017.04,0.035,0.042,0.04,0.035,0.041,0.043,0.042,0.042,0.035,0.041,0.041,0.04,0.046,0.041,0.047,0.046,0.055
2017.05,0.039,0.044,0.044,0.038,0.042,0.047,0.041,0.047,0.039,0.047,0.045,0.044,0.049,0.041,0.052,0.049,0.054
2017.06,0.041,0.041,0.047,0.037,0.044,0.05,0.039,0.052,0.041,0.047,0.049,0.045,0.05,0.039,0.049,0.048,0.044
2017.07,0.03,0.028,0.031,0.028,0.031,0.03,0.031,0.033,0.03,0.032,0.03,0.035,0.035,0.028,0.03,0.034,0.026
2017.08,0.024,0.027,0.028,0.025,0.03,0.025,0.027,0.027,0.025,0.022,0.025,0.031,0.033,0.032,0.024,0.033,0.030*
2017.09,0.027,0.033,0.029*,0.03,0.033,0.03,0.032,0.027,0.026,0.027*,0.027,0.037,0.036,0.037,0.03,0.036,0.047
2017.10,0.02,0.03,0.020*,0.024,0.024,0.021,0.028,0.02,0.019,0.021,0.019,0.026,0.026,0.029,0.024,0.031,0.041
2017.11,0.014,0.023,0.016,0.017,0.017,0.017,0.022,0.017,0.014,0.02,0.015,0.021,0.022,0.025,0.022,0.022,0.035
2017.12,0.011,0.02,0.015,0.014,0.017,0.015,0.021,0.014,0.012,0.018,0.013,0.018,0.021,0.023,0.02,0.02,0.033
2018.01,0.014,0.021,0.017,0.017,0.02,0.016,0.023,0.015,0.014,0.02,0.015,0.018,0.023,0.025,0.022,0.021,0.033
